date,open
2016/11/8,41.42
2016/11/9,40.76
2016/11/10,42.71
2016/11/11,42.07
2016/11/14,43.01
2016/11/15,45
2016/11/16,44.66
2016/11/17,44.39
2016/11/18,46.15
2016/11/21,46.46
2016/11/22,46.03
2016/11/23,46.05
2016/11/25,46.34
2016/11/28,46.64
2016/11/29,46.59
2016/11/30,46.14
2016/12/1,46.2
2016/12/2,46.09
2016/12/5,46.45
2016/12/6,46.16
2016/12/7,46.61
2016/12/8,48.6
2016/12/9,49.27
2016/12/12,49.16
2016/12/13,47.94
2016/12/14,47.84
2016/12/15,48.1
2016/12/16,48.61
2016/12/19,47.89
2016/12/20,48.5
2016/12/21,49.34
2016/12/22,49.35
2016/12/23,48.61
2016/12/27,48.29
2016/12/28,48.73
2016/12/29,47.8
2016/12/30,47.42
2017/1/3,47.28
2017/1/4,46.63
2017/1/5,46.52
2017/1/6,45.85
2017/1/9,46.01
2017/1/10,47
2017/1/11,49.29
2017/1/12,48.67
2017/1/13,48.16
2017/1/17,47.56
2017/1/18,47.3938
2017/1/19,47.64
2017/1/20,47.54
2017/1/23,47.9
2017/1/24,47.05
2017/1/25,47.9
2017/1/26,48.43
2017/1/27,50
2017/1/30,45.62
2017/1/31,44.79
2017/2/1,44.75
2017/2/2,43.61
2017/2/3,44.31
2017/2/6,44.8
2017/2/7,45.75
2017/2/8,45.26
2017/2/9,45.07
2017/2/10,46.62
2017/2/13,46.56
2017/2/14,47.26
2017/2/15,47.59
2017/2/16,47.5
2017/2/17,46.83
2017/2/21,47.01
2017/2/22,46.5
2017/2/23,46.42
2017/2/24,46
2017/2/27,46.18
2017/2/28,46.32
2017/3/1,46.79
2017/3/2,46.67
2017/3/3,45.85
2017/3/6,46.41
2017/3/7,45.02
2017/3/8,44.79
2017/3/9,44.5
2017/3/10,43.46
2017/3/13,43.73
2017/3/14,42.06
2017/3/15,40.5
2017/3/16,42.18
2017/3/17,42
2017/3/20,42.18
2017/3/21,41.88
2017/3/22,39.78
2017/3/23,40.7
2017/3/24,41.69
2017/3/27,41.07
2017/3/28,41.83
2017/3/29,42.69
2017/3/30,41.85
2017/3/31,42.37
2017/4/3,42.33
2017/4/4,42.09
2017/4/5,41.15
2017/4/6,41.4
2017/4/7,41.53
2017/4/10,41.81
2017/4/11,42.78
2017/4/12,44.79
2017/4/13,43.95
2017/4/17,43.47
2017/4/18,44.03
2017/4/19,44.07
2017/4/20,44.71
2017/4/21,45.5
2017/4/24,45.5
2017/4/25,46.8
2017/4/26,46.51
2017/4/27,43.91
2017/4/28,44.02
2017/5/1,42.76
2017/5/2,42.06
2017/5/3,43.67
2017/5/4,44.18
2017/5/5,44
2017/5/8,44.6
2017/5/9,45.4
2017/5/10,47.03
2017/5/11,47.21
2017/5/12,46.26
2017/5/15,45.7
2017/5/16,46.79
2017/5/17,46.25
2017/5/18,44.4
2017/5/19,44.8
2017/5/22,45.33
2017/5/23,46.27
2017/5/24,46.74
2017/5/25,46.99
2017/5/26,47.79
2017/5/30,48.32
2017/5/31,48.2
2017/6/1,48.5
